Entity,Day,"COVID-19 doses (daily, 7-day average, per million people)"
India,2023-05-06,1.3299308
India,2023-05-07,1.3102876
India,2023-05-08,1.3438616
India,2023-05-09,1.375832
India,2023-05-10,1.3464673
India,2023-05-11,1.3051763
India,2023-05-12,1.2981608
India,2023-05-13,1.3418571
India,2023-05-14,1.2403334
India,2023-05-15,1.2206901
India,2023-05-16,1.0336779
India,2023-05-17,0.91932595
India,2023-05-18,0.81409407
India,2023-05-19,0.7484494
India,2023-05-20,0.66707003
India,2023-05-21,0.6489301
India,2023-05-22,0.6589522
India,2023-05-23,0.69262636
India,2023-05-24,0.751456
India,2023-05-25,0.8134927
India,2023-05-26,0.8532804
India,2023-05-27,0.87743366
India,2023-05-28,0.8982796
India,2023-05-29,0.92012775
India,2023-05-30,0.94949245
India,2023-05-31,0.93215424
India,2023-06-01,0.89858025
India,2023-06-02,0.780019
India,2023-06-03,0.68160206
India,2023-06-04,0.5974166
India,2023-06-05,0.54249555
India,2023-06-06,1.6812049
India,2023-06-07,1.6389619
India,2023-06-08,1.6076429
India,2023-06-09,1.6785992
India,2023-06-10,1.7309145
India,2023-06-11,1.7527627
India,2023-06-12,1.7586757
India,2023-06-13,0.49729592
India,2023-06-14,0.45986342
India,2023-06-15,0.4146137
India,2023-06-16,0.393868
India,2023-06-17,0.37332273
India,2023-06-18,0.34756595
India,2023-06-19,0.34195358
India,2023-06-20,0.34035006
India,2023-06-21,0.32100743
India,2023-06-22,0.31579593
India,2023-06-23,0.28793454
India,2023-06-24,0.27079678
India,2023-06-25,0.27450493
India,2023-06-26,0.27410406
India,2023-06-27,0.27290142
India,2023-06-28,0.27881444
India,2023-06-29,0.2785138
India,2023-06-30,0.27179897
India,2023-07-01,0.26538485
India,2023-07-02,0.25035173
India,2023-07-03,0.25676584
India,2023-07-04,0.27801266
India,2023-07-05,0.3239138
India,2023-07-06,0.3429558
India,2023-07-07,0.39086136
India,2023-07-08,0.4314508
India,2023-07-09,0.4520963
India,2023-07-10,0.46572635
India,2023-07-11,0.4703365
India,2023-07-12,0.44498062
India,2023-07-13,0.4769511
India,2023-07-14,0.43125036
India,2023-07-15,0.39126223
India,2023-07-16,0.38234258
India,2023-07-17,0.36149666
India,2023-07-18,0.32892486
India,2023-07-19,0.3209072
India,2023-07-20,0.28302372
India,2023-07-21,0.29324624
India,2023-07-22,0.2867319
India,2023-07-23,0.27350274
India,2023-07-24,0.26969433
India,2023-07-25,0.27891466
India,2023-07-26,0.28613055
India,2023-07-27,0.28172085
India,2023-07-28,0.27320206
India,2023-07-29,0.2767098
India,2023-07-30,0.27079678
India,2023-07-31,0.27059633
India,2023-08-01,0.26789036
India,2023-08-02,0.24123162
India,2023-08-03,0.22679982
India,2023-08-04,0.22379318
India,2023-08-05,0.23612034
India,2023-08-06,0.2464431
India,2023-08-07,0.245942
India,2023-08-08,0.23511814
India,2023-08-09,0.24423824
India,2023-08-10,0.25205547
India,2023-08-11,0.25927138
India,2023-08-12,0.24734509
India,2023-08-13,0.23261262
India,2023-08-14,0.23411593
India,2023-08-15,0.24253449
India,2023-08-16,0.21226779
India,2023-08-17,0.22178876
India,2023-08-18,0.23982853
India,2023-08-19,0.27691025
India,2023-08-20,0.3242145
India,2023-08-21,0.33413637
India,2023-08-22,0.38975894
India,2023-08-23,0.49018022
